conversation_ID	utt_1	utt_2	emotion
781		Wow ! This is so amazing . I uh , I really thought I would have to talk you into this more .	joy
781		What ... wh ... what so we will just stay married forever ? !	surprise
781	so we will just stay married forever ? !	Really ?	anger
781	how is this gonna affect you ?	Ohh , okay , I am sorry .	sadness
781		You are asking me to be your wife !	anger
781	I am asking you to do me a favor .	And as my wife I think you should grant me this favor .	anger
781	You are asking me to be your wife !	And as my wife I think you should grant me this favor .	anger
781		And as my wife I think you should grant me this favor .	anger
7		What that Rachel did to her life ... We ran into her parents at the club , they were not playing very well .	sadness
7		I am not gonna tell you what they spent on that wedding ... but forty thousand dollars is a lot of money !	surprise
7	at least she had the chance to leave a man at the altar ...	What that supposed to mean ?	surprise
7		What that supposed to mean ?	surprise
1348		Hey , thank you so much for these tickets , Chandler .	joy
1348	thank you so much for these tickets	Oh well , this was a really important experience for me , and I wanted to share it with you .	joy
1348	I wanted to share it with you	Oh , you are so wonderful .	joy
949		Oh wow that is a great idea ! And I still have his credit card .	joy
949		Hey ... hey ... hey ... ho ... ho , I got this one .	joy
949	I got this one .	Here you go .	joy
932		I can not believe I am going to lose this job !	sadness
932	I am going to lose this job !	Oh I am so sorry man ! Is there anything I can do ?	sadness
932		Yeah ? I don’t want to talk to you Wayne ! I hate you ! You ruined my life !	anger
932	I hate you ! You ruined my life !	Why should I help you out ? !	anger
932	I ... I ... I will g ... get you your job back if you help me out .	Why should I help you out ? !	anger
932	I ... I ... I will g ... get you your job back if you help me out .	What do you need ?	joy
392		Why do all you are coffee mugs have numbers on the bottom ?	surprise
392		Oh . That is so Monica can keep track . That way if one on them is missing , she can be like , Where is number 27 ? !	anger
407		Oh , I am , my side still hurts from when you crashed into me yesterday .	sadness
407	my side still hurts from when you crashed into me yesterday .	Oh God , I am so sorry .	sadness
407	Ow ! !	Oh God !	surprise
407		Hey , you guys ! Guess what ?	joy
407		Got a job on a river boat ?	surprise
407		You know what I did not wear this suit for a year because you hated it . Well , guess what ? You are not my girlfriend anymore so ...	anger
407	I did not wear this suit for a year because you hated it . Well , guess what ? You are not my girlfriend anymore so ...	Now that you are on you are own , you are free to look as stupid as you like .	anger
407		Now that you are on you are own , you are free to look as stupid as you like .	anger
407		Oh absolutely . I like it even more on you than I did on Colonel Sanders . Ross ! Ross ! I am kidding !	joy
407	I am kidding !	What ... what was it you were gonna tell us ?	joy
407		Yeah . Oh ! Was how you invented the cotton gin ? !	surprise
407	Was how you invented the cotton gin ? !	Okay , good bye !	anger
303		I spelled out boobies .	joy
303	we are out . I sold them all .	What ?	surprise
303	we are out . I sold them all .	No .	sadness
303	we are out . I sold them all .	You gotta help me out with a couple more boxes !	sadness
303		Mon , look at yourself . You have cookie on your neck .	disgust
303	You have cookie on your neck .	Oh God !	surprise
303	how many have you sold so far ?	Check this out . Five hundred and seventeen boxes !	surprise
303		Check this out . Five hundred and seventeen boxes !	surprise
303	how many have you sold so far ?	Oh my God , how did you do that ?	surprise
303	Five hundred and seventeen boxes !	Oh my God , how did you do that ?	surprise
303		Oh my God , how did you do that ?	surprise
303		Okay , the other night I was leaving the museum just as Laser Floyd was letting out of the planetarium , without even trying I sold 50 boxes !	joy
303		That is when it occurred to me , the key to my success , the munchies . So I ah , started hitting the NYU dorms around midnight .	joy
303		I am selling cookies by the case .	joy
303		They call me : Cookie Dude !	joy
303		Well hey , who did these resumes for you ?	surprise
303	who did these resumes for you ?	Me ! On my computer .	joy
303		Me ! On my computer .	joy
1070		That really was some of your best work .	joy
1070	That really was some of your best work .	Hm ... hmm , I told you ! I can not believe that I have only got two hours before I call in sick for work .	joy
1070		I have to be up in seven minutes .	disgust
1070		Do you wanna ?	joy
1070		Okay ! You get the vacuum cleaner and I will get the furniture polish !	joy
779		Why are we in bed together ?	surprise
779	Why are we in bed together ?	I do not know .	sadness
779	Why are we in bed together ?	Do ... do you have any clothes on ?	fear
779		Do ... do you have any clothes on ?	fear
779	Do ... do you have any clothes on ?	Really ? !	surprise
779	Yes .	Really ? !	surprise
779	Why are we in bed together ?	No .	sadness
779	Do ... do you have any clothes on ?	No .	sadness
779		No .	sadness
779	Why are we in bed together ?	Ugh ...	sadness
779	Do ... do you have any clothes on ?	Ugh ...	sadness
779	No .	Ugh ...	sadness
779		But we ... we did not have ... sex ... uh , did we ?	fear
779		I mean , I do not remember much about last night , it was such a blur .	sadness
779		Oh ! I remember laughing ! I laughed a lot .	joy
779		Ohh , I mean , we were really drunk . I am just glad we did not do anything stupid .	disgust
946		I can not figure this out !	anger
946		It is so hard !	sadness
946	It is so hard !	Should I get her a Tiffany cut or a Princess cut or a ... ah ... ah !	sadness
946		Paper cut !	sadness
946		You told me .	surprise
946		Well , it is because I trust you , you are one of my best friends , and you walked in on me when I was looking at ring brochures .	sadness
946		Yeah well , once again not knocking pays off . I only wish you had not been on the toilet .	joy
946	we were just gonna see if you wanted to go .	How rude .	disgust
946	we do not because we got ... the ... other pl ... place .	How rude .	disgust
946		How rude .	disgust
946	How rude .	Oh , I am sorry . You wanna bite ?	surprise
946		Oh , I am sorry . You wanna bite ?	surprise
280		Look , I just saw my best friends brains smeared across the canvas , that is not gonna be me , not me .	sadness
280		Wow ! That was good . That was ... Tweezers ?	surprise
280	That was ... Tweezers ?	Whoa . That was really good .	surprise
280	No .	Whoa . That was really good .	surprise
280		Whoa . That was really good .	surprise
1241		Aw , it is unbelievable !	surprise
1241	She is kicking so much !	Wow !	surprise
1241		She is kicking so much !	surprise
1241	She is kicking so much !	Mia Hamm !	joy
1241	she is like	Mia Hamm !	joy
1241		Mia Hamm !	joy
1241	She is kicking so much !	Oh that is amazing .	surprise
1241		Oh that is amazing .	surprise
859		So , you stole my joke , and you stole my money .	anger
859	you stole my joke , and you stole my money .	Well , she is going to know that you stole the joke .	disgust
859	I will show the sexy teller that I am a published writer .	Well , she is going to know that you stole the joke .	disgust
859		Well , she is going to know that you stole the joke .	disgust
859		Oh , what are you going to do , follow me down there ?	surprise
859	what are you going to do , follow me down there ?	Yeah !	joy
859		Yeah !	joy
859		Ah , Gunther , I can not pay for this right now because I am not working , so I have had to cut down on some luxuries like uh , payin for stuff .	sadness
859		And to go from that to this , I just ... Plus , I would have to wait on all my friends .	sadness
859		Okay , but the money good , plus you get to stare at Rachel as much as you want .	joy
859	you get to stare at Rachel as much as you want .	What ? !	surprise
9	C mon in .	Are you sure ?	surprise
9	Robbie gonna be here for hours .	Huh ? !	surprise
337	Robert gonna be here any second so , will one of you just tell him ?	Oh .	sadness
337		Please , right now , no , every time I see him it is like Is it on the lose ? Is it watching me ?	fear
337	will one of you just tell him ?	We can not tell him , you can not go up to a guy you barely know and talk about his ... stuff .	sadness
337		We can not tell him , you can not go up to a guy you barely know and talk about his ... stuff .	sadness
337		Hey !	joy
337	I can spot you from here .	What ?	surprise
1218		Okay , ten blocks down . Five to go .	sadness
1218		Oh I am sorry ! Do you need a break ?	anger
1218		My boots in tan ! Hey ! Can you get a little closer so I can see the price ?	joy
1218	My boots in tan ! Hey ! Can you get a little closer so I can see the price ?	I can see it from right here . It will cost you one husband .	anger
1218	It will cost you one husband .	Okay , I am sorry . I think I can walk the rest of the way now . Just ... just give me my boots .	sadness
1021		Oh ... wait ... you two think of me as family ? ! Oh , I have to ask you something now and be honest ; do you want me to sing Careless Whisper or Lady In Red ?	surprise
559	All those things I said about not being ready	They are not true ?	surprise
559		They are not true ?	surprise
559	They are not true ?	Oh .	sadness
559	No , they are ... they are all true .	Oh .	sadness
559	But ...	Oh ! Oh , I love that but .	joy
559		Oh ! Oh , I love that but .	joy
299	you have no backhand	Excuse me little one , I have a very solid backhand .	anger
299		Shielding your face and shrieking like a girl ... is not a backhand .	disgust
712		And I ... I realize that the competition is fierce but ... I am sorry .	sadness
712		I , I can not help but notice you are naked and I applaud you .	sadness
712	you are naked	I mean , this ... this looks so great .	joy
712		I mean , this ... this looks so great .	joy
593		This sucks !	anger
1072		Okay , I can do that ! Oh , by the way , I love my office .	joy
1072		Okay , I can do that ! Oh , by the way , I love my office .	joy
1072		Okay , I can do that ! Oh , by the way , I love my office .	joy
1072		Okay , I can do that ! Oh , by the way , I love my office .	joy
46		We are kidding . C mon , tell us !	joy
46	We are kidding .	Yeah ! C mon !	joy
546		You ... are ... not going to believe it ! Joshua came into work today , and guess what happened ?	joy
546	I was showing him some cufflinks and I felt his pulse .	You ... are ... not going to believe it ! Joshua came into work today , and guess what happened ?	joy
546		He asked you out ? !	surprise
546		No . But I was showing him some cufflinks and I felt his pulse .	joy
546	I was showing him some cufflinks and I felt his pulse .	Saucy !	joy
546	What are these ?	Okay , okay , okay should I be scared ?	fear
546	Electrical plans for the building .	Okay , okay , okay should I be scared ?	fear
546	I went down to city hall and got these .	All I had to do was pay $ 25 and wait in line for three hours .	joy
546		All I had to do was pay $ 25 and wait in line for three hours .	joy
546	All I had to do was pay $ 25 and wait in line for three hours .	Wow ! If only more people knew .	surprise
1277		I see . Nice sidestep on the do do thing by the way .	joy
1277	You gotta go !	Oh !	fear
1277	You are ready .	Really ?	surprise
531		Please , it is a relief is what it is , is what it is .	joy
441	Bruiser is charging !	Run ! Run you crazy , rich freak !	fear
441		Oh , I can not watch this .	fear
441		Check it out , he is winning ! Pete winning !	surprise
441	he is winning ! Pete winning !	Really ? !	surprise
441		Uh ... oh , Bruiser has Becker on the canvas and is going for his favourite area .	fear
441	Bruiser has Becker on the canvas and is going for his favourite area .	Oh ! Oh !	disgust
441	Bruiser has Becker on the canvas and is going for his favourite area .	Wait , if that is his favourite area , why is he being so mean to it ?	sadness
441		Wait , if that is his favourite area , why is he being so mean to it ?	sadness
441		Well , this is ironic .	sadness
441	Of your last two boyfriends , Richard did not want to have kids , and from the looks of it , now Pete can not .	Well , this is ironic .	sadness
552		I ... I hurt three huge men , I gave a guy a bloody nose ... I mean I ... I am not proud of it but , I really am .	joy
552	I ... I hurt three huge men , I gave a guy a bloody nose	And it is all because of you , wonderful , amazing you .	joy
552		And it is all because of you , wonderful , amazing you .	joy
552	it is all because of you , wonderful , amazing you .	I think you have got concussion .	joy
552	I ... I hurt three huge men , I gave a guy a bloody nose	No , no , I am serious . Thank you .	joy
552	And it is all because of you , wonderful , amazing you .	No , no , I am serious . Thank you .	joy
552		You are welcome . I am sorry . Did I hurt you ?	fear
83		Will you pick one , just pick one ! Here , how about that one ?	anger
83	Here , how about that one ?	That is patio furniture !	surprise
83		That is patio furniture !	surprise
83	Will you pick one , just pick one ! Here , how about that one ?	"So what , like people are gonna come in and think , "" Uh ... oh , I am outside again ? """	anger
83	That is patio furniture !	"So what , like people are gonna come in and think , "" Uh ... oh , I am outside again ? """	anger
83	What about the birds ?	Oh , so , forget about the birds , but big red insects suggest fine dining !	anger
83	"I do not know , birds just do not say , "" Hello , sit here , eat something . """	Oh , so , forget about the birds , but big red insects suggest fine dining !	anger
83	how about the ladybugs ?	Oh , so , forget about the birds , but big red insects suggest fine dining !	anger
83		Oh , so , forget about the birds , but big red insects suggest fine dining !	anger
83	how about the ladybugs ?	Fine , you want to get the birds , get the birds !	anger
83	forget about the birds , but big red insects suggest fine dining !	Fine , you want to get the birds , get the birds !	anger
83	What about the birds ?	Not like that , I will not !	sadness
83	"I do not know , birds just do not say , "" Hello , sit here , eat something . """	Not like that , I will not !	sadness
83	Fine , you want to get the birds , get the birds !	Not like that , I will not !	sadness
83	What about the birds ?	Kip would have liked the birds !	sadness
83	"I do not know , birds just do not say , "" Hello , sit here , eat something . """	Kip would have liked the birds !	sadness
442		Would you look at them . Am I ever gonna find a boyfriend again ? I gonna die an old maid .	sadness
1127		All right ! I found one that fits !	joy
1127		Oh does it matter ? ! All that matters is that you look so handsome .	sadness
464		Gin .	joy
464		We were playing Gin ? You know if we were a couple , we could play this game naked .	joy
464	if we were a couple , we could play this game naked .	Will you stop !	joy
464		Okay , all right , I think you are great , I think you are sweet , and you are smart , and I love you .	joy
464		But you will always be the guy who peed on me .	disgust
1015	I can not help you .	Well , fine .	anger
1015	I can not help you .	Fine !	anger
1015	I can not help you .	If ... if I am the only person with any appreciation of the sanctity of the written word , I will go up there and defend it myself !	anger
1015		And do not you follow me !	anger
491		Yeah , it must have fallen out a few blocks back . I just figured we hit a dog .	sadness
491		Listen uh , could you put Kathy on , I wanna apologize .	sadness
1203		I know . I know . I panicked , I panicked . I did not want him to start yelling at me like I was some 74 Latour .	fear
1203		All right here he comes . I am gonna do this , I am gonna tell him , I am gonna be strong .	fear
1203	I think I may be able to book The Plaza on short notice .	Really ? !	surprise
1203		There is not gonna be a wedding . Ross and I are not getting married .	sadness
1203	There is not gonna be a wedding . Ross and I are not getting married .	I am sorry daddy .	sadness
1203	There is not gonna be a wedding . Ross and I are not getting married .	I do not believe this ! !	anger
1203		I do not believe this ! !	anger
1203	I do not believe this ! !	Oh now daddy , stay calm . Please .	fear
1203	There is not gonna be a wedding . Ross and I are not getting married .	Stay calm ? ! !	anger
1203	There is not gonna be a wedding . Ross and I are not getting married .	How do you expect me to stay calm ? !	anger
1203	There is not gonna be a wedding . Ross and I are not getting married .	This is unacceptable Rachel !	anger
1203	There is not gonna be a wedding . Ross and I are not getting married .	And I wanna know why ? ! !	anger
1203	There is not gonna be a wedding . Ross and I are not getting married .	Is it because that punk Ross will not marry you ? !	anger
1203		Is it because that punk Ross will not marry you ? !	anger
1203	Is it because that punk Ross will not marry you ? !	That is it !	anger
1203	Is it because that punk Ross will not marry you ? !	Is that it ?	anger
1203	Is that it ?	Yes . Yes , he says I am damaged goods .	fear
869		Hey !	joy
207		No , no wait , forget them , we got one , hard left .	joy
207		Oh , seriously you want him ?	surprise
207	gimme the baby .	Oh , seriously you want him ?	surprise
207	Come on , seriously .	Oh , seriously you want him ?	surprise
207	Hello .	Hello .	joy
207		Hello .	joy
207		Who is this little cutie ... pie ?	joy
207		Oh , yeah . He is got that great baby smell . Get a whiff of his head .	joy
207	I think my uterus just skipped a beat .	What would I tell you ? What would I tell you ?	joy
207		I think it is great you guys are doing this .	joy
207		Well , we are great guys .	joy
207	it is great you guys are doing this .	Well , we are great guys .	joy
773		What did you just say ?	surprise
773		You roll another hard eight and we get married here tonight .	joy
773	You roll another hard eight and we get married here tonight .	Are you serious ? !	surprise
773		Yes ! I love you ! I have never loved anybody as much as I love you .	joy
773	You roll another hard eight and we get married here tonight .	I have never loved anybody as much as I love you .	joy
773	I love you ! I have never loved anybody as much as I love you .	I have never loved anybody as much as I love you .	joy
773		I have never loved anybody as much as I love you .	joy
773	I have never loved anybody as much as I love you .	Okay , so if an eight comes up , we take it as a sign and we do it !	joy
773		Okay , so if an eight comes up , we take it as a sign and we do it !	joy
773	if an eight comes up , we take it as a sign and we do it !	Okay !	joy
773	if an eight comes up , we take it as a sign and we do it !	Okay ! Come on ! Let go ! All right !	joy
773	What do you say ?	Okay ! Come on ! Let go ! All right !	joy
773	Okay !	Okay ! Come on ! Let go ! All right !	joy
773		Okay ! That is a four ! And where ... where is the other one ?	anger
773	where ... where is the other one ?	Nobody move ! Okay , you look that way ; I will look this way !	fear
773	It went under the table .	Nobody move ! Okay , you look that way ; I will look this way !	fear
773		Here it is ! Here it is !	joy
773	That could be a four or a five . It is your call .	I think so too .	joy
773	It is a four .	I think so too .	joy
945		I am so sorry . Please stop freaking out .	fear
945	stop freaking out .	I am not freaking out .	surprise
945		I am not freaking out .	surprise
945		A woman named Heldi called and said we were getting married , but that happens everyday .	anger
945		A woman named Heldi called and said we were getting married , but that happens everyday .	anger
945		A woman named Heldi called and said we were getting married , but that happens everyday .	anger
945		A woman named Heldi called and said we were getting married , but that happens everyday .	anger
945		Honey , we were at this beautiful place , and I ... I ... I just put our names down for fun !	sadness
945	I ... I ... I just put our names down for fun !	Right here !	sadness
945	what the harm in that ?	Right here !	sadness
945		Right here !	sadness
945	what the harm in that ?	Chandler , please do not think I was trying to pressure you . Phoebe and Rachel	sadness
945	Right here !	Chandler , please do not think I was trying to pressure you . Phoebe and Rachel	sadness
945		Chandler , please do not think I was trying to pressure you . Phoebe and Rachel	sadness
945	So the people that knew about our wedding before me were you , Phoebe and Rachel , Heldi , and apparently some band called Starlight Magic 7 who are available by the way !	Phoebe and Rachel !	surprise
945		So the people that knew about our wedding before me were you , Phoebe and Rachel , Heldi , and apparently some band called Starlight Magic 7 who are available by the way !	anger
945		It was a mistake . Please do not take this to mean anything , because it does not .	sadness
945	Please do not take this to mean anything , because it does not .	Really ?	surprise
945	Okay .	Really ?	surprise
945		I am gonna go tell Joey that that you are back . I was really worried about you .	joy
945	So did Heldi show you the place ?	Yeah , it is beautiful .	joy
945		Yeah , it is beautiful .	joy
945		I can not believe you are gonna ask Monica to marry you !	joy
945	you are gonna ask Monica to marry you !	I know .	joy
997	"I like this one . It seems to say , "" I love you and that is why I have to kill you . """	They can not all be bad . Find the one where you make your bedroom eyes . Ohh , there it is .	sadness
997		Oh my God ! Those are my bedroom eyes ? ! Why did you ever sleep with me ?	surprise
997	Those are my bedroom eyes ? ! Why did you ever sleep with me ?	Do you really want to pull at that thread ?	surprise
997		Do you really want to pull at that thread ?	surprise
997		I am having a really good time !	joy
997		Me too ! I am sorry that guy in the subway licked your neck .	sadness
997		Yeah , I ... Well you know I ... I mean I missed the ... the semi ... finals , so I would just be lost .	sadness
997	my ex ... wife Whitney is out there .	I know it is really lame , but I got these tickets from my boss and ... Oh no ! No ! No ! My God !	surprise
997		No it is ... Uh , my ex ... wife Whitney is out there . I cannot deal with her right now . That woman is crazy !	anger
997	that is Whitney , Kyle ex ... wife out there , now do you think that you can you know divert her so that we can slip out ?	What ? ! No !	surprise
260		Oh , that is so unfortunate .	sadness
260	Cute naked guy is really starting to put on weight .	Oh , that is so unfortunate .	sadness
260	that is so unfortunate .	Cute naked guy is really starting to put on weight .	sadness
260		Cute naked guy is really starting to put on weight .	sadness
260		Bye ... bye ! That is why I moved out .	joy
263	You wanna hear something that sucks ?	Do I ever .	joy
263		Chris says they are closing down the bar .	sadness
263	Chris says they are closing down the bar .	No way !	surprise
263	apparently they are turning it into some kinda coffee place .	Just coffee ! Where are we gonna hang out now ?	disgust
263	Chris says they are closing down the bar .	Got me .	sadness
263	apparently they are turning it into some kinda coffee place .	Got me .	sadness
263	did you pick a roommate ?	You betcha !	joy
263		You betcha !	joy
263	did you pick a roommate ?	Is it the Italian guy ?	surprise
263	You betcha !	Is it the Italian guy ?	surprise
263		Is it the Italian guy ?	surprise
263	did you pick a roommate ?	Um ... mm , yeah right !	joy
263	You betcha !	Um ... mm , yeah right !	joy
263	Is it the Italian guy ?	Um ... mm , yeah right !	joy
263		Um ... mm , yeah right !	joy
62		WHAT IS IT ? !	anger
62		Okay , I ... I d know , you ... you just ... you have a quality .	joy
62		Hello ? Hello ? Oh ! Rachel , it is Paolo calling from Rome .	joy
62	it is Paolo calling from Rome .	Oh my God ! Calling from Rome !	surprise
62		Oh my God ! Calling from Rome !	surprise
62		Monica , your dad just beeped in , but can you make it quick ? Talking to Rome . I am talking to Rome .	joy
62		Hey dad , what up ? Oh God . Ross , it is Nana .	sadness
1295		Ooh , this is it ! Oh , that is him ! That is him !	joy
1295	that is him ! That is him !	Great ! Go get him .	joy
1295		But lately all the guys I meet seem really nice at first , then they turn out to be the biggest jerks .	sadness
1295		You do attract some stinkers .	disgust
1046		Did you get all this stuff for Joey to try and drive me out of the apartment ?	surprise
1046	Did you get all this stuff for Joey to try and drive me out of the apartment ?	Honey , if you wanted to do that , you might as well just gotten him a fish , you know how fish freaked me out !	disgust
1046	if you wanted to do that , you might as well just gotten him a fish , you know how fish freaked me out !	Fish !	anger
1046		Yes , but I wanted you to want to live with me , but okay , if you are having so much fun over here	sadness
1046		Oh , it is so much more fun with you .	joy
1046	it is so much more fun with you .	We did have fun , did not we ?	joy
1046		We did have fun , did not we ?	joy
1046	We did have fun	We did !	joy
1046		We did !	joy
1046	they say , if we want , we can see it tonight .	Oh , I would love to !	joy
1046	I would love to !	Yay , okay !	joy
1046	they say , if we want , we can see it tonight .	Good , good , good , good , good .	joy
967		Ross !	surprise
967	We should just switch .	Yeah absolutely !	joy
691	it is not that big of a deal	I can not believe you would say that !	surprise
691		I can not believe you would say that !	surprise
691	it is not that big of a deal	No ! I mean come on ! This is a huge deal !	anger
691		No ! I mean come on ! This is a huge deal !	anger
691		Is he romantic with her ?	surprise
691		Are they in love ?	surprise
691	Is he romantic with her ?	You do not know anything .	sadness
691	I do not know .	You do not know anything .	sadness
691	Are they in love ?	You do not know anything .	sadness
691	I do not know .	You do not know anything .	sadness
691		You do not know anything .	sadness
691		Ohh , I know one thing !	surprise
691	I know one thing !	What ?	surprise
931	we said we would meet at the coffeehouse at six .	We said seven !	anger
931		We said seven !	anger
931	we said we would meet at the coffeehouse at six .	We said six !	anger
931	We said seven !	We said six !	anger
931		We said six !	anger
931	we said we would meet at the coffeehouse at six .	"The only way that I said six would be if the sentence , "" Let meet at seven , not at six . """	anger
931	We said seven !	"The only way that I said six would be if the sentence , "" Let meet at seven , not at six . """	anger
931	We said six !	"The only way that I said six would be if the sentence , "" Let meet at seven , not at six . """	anger
931	we said we would meet at the coffeehouse at six .	"Yeah and if I had seven , maybe I would have said something like this , "" Wow ! My boyfriend such a wise ass . 7 : 00 ! """	anger
931	We said seven !	"Yeah and if I had seven , maybe I would have said something like this , "" Wow ! My boyfriend such a wise ass . 7 : 00 ! """	anger
931	"The only way that I said six would be if the sentence , "" Let meet at seven , not at six . """	"Yeah and if I had seven , maybe I would have said something like this , "" Wow ! My boyfriend such a wise ass . 7 : 00 ! """	anger
931		"Yeah and if I had seven , maybe I would have said something like this , "" Wow ! My boyfriend such a wise ass . 7 : 00 ! """	anger
931		Hi !	joy
931		I know what time you said .	joy
931	I know what time you said .	What ? !	surprise
54	I see ... big passion in your future .	Really ?	surprise
54	I see ... big passion in your future .	You do ?	surprise
54	I see ... big passion in your future .	Oh Ross , you are so great .	joy
54		Oh Ross , you are so great .	joy
1073		Hey !	joy
1073		Hi . God , it seems like just yesterday you guys used to come out to watch me work .	joy
1073		Dad , we ... we can not believe you are selling the house .	sadness
